country,cluster_id,pca1,pca2,pca3,pca4,pca5,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,education_actor_centrality_index,governance_density_index
Lithuania,3,-0.5973711719688228,-1.115657148477489,-2.0781432901752104,0.8655219246088186,-3.4359659883616502,-0.06676358013955502,-0.9288585967463142,-0.4174885365187817,0.2575037658683753,-0.44899128555027645
Morocco,1,-0.7059066060286335,1.4535449362856256,-0.7120612964132841,-0.9051977132133839,-1.257037689481532,-0.2158686291570706,0.09069063849167365,-0.01403000164415627,-0.8884687739280139,-0.5199651731228869
United Arab Emirates,3,-2.236661036362619,-1.7554176884927628,0.06610526663413001,-1.2258875608591024,0.6672126054665751,-0.8122888252271332,1.450089618808991,-0.19674676364257326,-0.8884687739280139,-0.5199651731228869
United Nations,1,-0.7389921772973741,1.5371965146471673,0.5541033488279823,-0.7605958754897196,0.6266115924421715,-0.613482093203779,-0.589008851666985,0.39741855696576617,0.1473549848379706,-0.5199651731228869
Council of Europe,1,1.2451495901541356,7.592934794685078,-0.6863480420164324,-2.1569500448785197,-1.0920482755002454,0.3805515669129919,-1.9484078319843021,0.008665927360634429,0.1473549848379706,-0.661912948268108
Greece,2,-1.262877994934184,3.997177204363418,1.8260494424503075,0.24027899001798178,1.167341861879242,-0.2158686291570706,0.09069063849167365,0.008665927360634429,0.1473549848379706,-0.661912948268108
Luxembourg,2,-3.4518640350705936,0.33810620496865446,2.3456937013629893,1.1765854462683965,0.895647610039249,,2.1297891089676493,-0.6085069105542492,0.1473549848379706,-0.661912948268108
Nigeria,1,-0.7220448193834693,3.975460867145034,-0.6504304702817665,0.040280661641959904,-1.9216111919520538,-0.2158686291570706,-1.9484078319843021,-0.6085069105542492,-1.4063806533110061,-0.661912948268108
Malaysia,2,-4.1334913248236695,2.118103412889818,3.4468296087691535,2.809073297835644,1.7068019863566364,,2.1297891089676493,0.008665927360634429,-2.9601162914599826,-0.697399892054413
Rwanda,1,-0.8833645904394314,5.946728180262589,2.1176328462189553,-0.3534950145306023,-0.05243951999587563,-0.8122888252271332,-1.9484078319843021,0.008665927360634429,0.1473549848379706,-0.697399892054413
