country,n_docs,n_statements,n_norm,other_low_confidence,n_rule,n_strategy,pct_a_explicit,pct_a_inferred,pct_a_conjoined,mean_c_count,pct_b_found,pct_o_local_present,pct_i_conjoined,pct_a_raw_present,pct_b_text_present,pct_c_text_present,pct_edu_actor_A,pct_edu_domain,dclass_obligation,dclass_permission,dclass_prohibition,statements_per_doc,n_strategy_share,n_norm_share,n_rule_share,rule_to_norm_ratio,rule_to_strategy_ratio,n_strong_deontic,strong_deontic_share
Italy,5,46,15,2,0,29,0.8478260869565217,0.0,0.15217391304347827,0.3695652173913043,0.2826086956521739,0.0,0.10869565217391304,0.8478260869565217,0.2826086956521739,0.34782608695652173,0.021739130434782608,0.8260869565217391,9.0,6.0,2.0,9.2,0.6304347826086957,0.32608695652173914,0.0,0.0,0.0,11.0,0.2391304347826087
New Zealand,5,25,12,4,0,9,0.88,0.0,0.12,0.28,0.88,0.0,0.16,0.88,0.88,0.24,0.0,1.0,2.0,14.0,0.0,5.0,0.36,0.48,0.0,0.0,0.0,2.0,0.08
Bulgaria,4,55,17,8,2,28,0.8909090909090909,0.0,0.21818181818181817,0.2909090909090909,0.4727272727272727,0.05454545454545454,0.12727272727272726,0.8909090909090909,0.4727272727272727,0.2727272727272727,0.07272727272727272,0.7636363636363637,10.0,16.0,1.0,13.75,0.509090909090909,0.3090909090909091,0.03636363636363636,0.11764705882352941,0.07142857142857142,11.0,0.2
Kenya,4,42,24,0,1,17,0.8095238095238095,0.0,0.14285714285714285,0.2619047619047619,0.35714285714285715,0.023809523809523808,0.23809523809523808,0.8095238095238095,0.35714285714285715,0.23809523809523808,0.07142857142857142,0.8095238095238095,7.0,14.0,4.0,10.5,0.40476190476190477,0.5714285714285714,0.023809523809523808,0.041666666666666664,0.058823529411764705,11.0,0.2619047619047619
Korea (Republic of),4,33,18,1,0,14,0.7272727272727273,0.0,0.12121212121212122,0.3939393939393939,0.42424242424242425,0.0,0.30303030303030304,0.7272727272727273,0.42424242424242425,0.3333333333333333,0.09090909090909091,0.8484848484848485,2.0,16.0,1.0,8.25,0.42424242424242425,0.5454545454545454,0.0,0.0,0.0,3.0,0.09090909090909091
Chile,4,27,13,1,0,13,0.6296296296296297,0.0,0.14814814814814814,0.18518518518518517,0.3333333333333333,0.0,0.1111111111111111,0.6296296296296297,0.3333333333333333,0.18518518518518517,0.037037037037037035,0.9259259259259259,9.0,5.0,0.0,6.75,0.48148148148148145,0.48148148148148145,0.0,0.0,0.0,9.0,0.3333333333333333
OECD,4,22,7,0,0,15,0.8636363636363636,0.0,0.0,0.18181818181818182,0.6363636363636364,0.0,0.09090909090909091,0.8636363636363636,0.6363636363636364,0.18181818181818182,0.0,0.6363636363636364,1.0,6.0,0.0,5.5,0.6818181818181818,0.3181818181818182,0.0,0.0,0.0,1.0,0.045454545454545456
Russia,4,18,9,1,1,7,0.7777777777777778,0.0,0.2222222222222222,0.5555555555555556,0.8333333333333334,0.05555555555555555,0.4444444444444444,0.7777777777777778,0.8333333333333334,0.5,0.05555555555555555,0.9444444444444444,5.0,4.0,2.0,4.5,0.3888888888888889,0.5,0.05555555555555555,0.1111111111111111,0.14285714285714285,7.0,0.3888888888888889
Sweden,4,12,9,1,0,2,0.9166666666666666,0.0,0.25,0.3333333333333333,0.5,0.0,0.3333333333333333,0.9166666666666666,0.5,0.3333333333333333,0.08333333333333333,0.8333333333333334,3.0,7.0,0.0,3.0,0.16666666666666666,0.75,0.0,0.0,0.0,3.0,0.25
Ukraine,3,61,44,6,1,10,0.8852459016393442,0.0,0.13114754098360656,0.32786885245901637,0.7377049180327869,0.01639344262295082,0.18032786885245902,0.8852459016393442,0.7377049180327869,0.3114754098360656,0.16393442622950818,0.45901639344262296,20.0,28.0,3.0,20.333333333333332,0.16393442622950818,0.7213114754098361,0.01639344262295082,0.022727272727272728,0.1,23.0,0.3770491803278688
Costa Rica,3,34,13,2,1,18,0.8529411764705882,0.0,0.11764705882352941,0.5294117647058824,0.20588235294117646,0.029411764705882353,0.058823529411764705,0.8529411764705882,0.20588235294117646,0.4117647058823529,0.029411764705882353,0.9411764705882353,4.0,11.0,1.0,11.333333333333334,0.5294117647058824,0.38235294117647056,0.029411764705882353,0.07692307692307693,0.05555555555555555,5.0,0.14705882352941177
World Economic Forum,3,23,14,1,0,8,0.9130434782608695,0.0,0.21739130434782608,0.43478260869565216,0.8260869565217391,0.0,0.17391304347826086,0.9130434782608695,0.8260869565217391,0.34782608695652173,0.0,0.9130434782608695,10.0,3.0,2.0,7.666666666666667,0.34782608695652173,0.6086956521739131,0.0,0.0,0.0,12.0,0.5217391304347826
Global Partnership on Artificial Intelligence,3,10,1,0,0,9,0.8,0.0,0.1,0.2,0.2,0.0,0.1,0.8,0.2,0.2,0.0,0.6,0.0,1.0,0.0,3.3333333333333335,0.9,0.1,0.0,0.0,0.0,0.0,0.0
Slovenia,3,8,0,1,0,7,0.75,0.0,0.625,0.0,0.625,0.0,0.0,0.75,0.625,0.0,0.0,1.0,1.0,0.0,0.0,2.6666666666666665,0.875,0.0,0.0,,0.0,1.0,0.125
Tunisia,3,7,7,0,0,0,0.8571428571428571,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.0,0.8571428571428571,5.0,2.0,0.0,2.3333333333333335,0.0,1.0,0.0,0.0,,5.0,0.7142857142857143
Switzerland,2,52,17,13,2,20,0.8461538461538461,0.0,0.15384615384615385,0.23076923076923078,0.5769230769230769,0.07692307692307693,0.09615384615384616,0.8461538461538461,0.5769230769230769,0.21153846153846154,0.057692307692307696,0.9038461538461539,24.0,7.0,1.0,26.0,0.38461538461538464,0.3269230769230769,0.038461538461538464,0.11764705882352941,0.1,25.0,0.4807692307692308
Egypt,2,33,15,0,0,18,0.8484848484848485,0.0,0.12121212121212122,0.24242424242424243,0.30303030303030304,0.0,0.24242424242424243,0.8484848484848485,0.30303030303030304,0.21212121212121213,0.12121212121212122,0.6363636363636364,3.0,11.0,1.0,16.5,0.5454545454545454,0.45454545454545453,0.0,0.0,0.0,4.0,0.12121212121212122
Mauritius,2,30,22,5,1,2,0.8,0.0,0.2,1.5,0.5,0.03333333333333333,0.2,0.8,0.5,0.7333333333333333,0.06666666666666667,0.9666666666666667,21.0,6.0,1.0,15.0,0.06666666666666667,0.7333333333333333,0.03333333333333333,0.045454545454545456,0.5,22.0,0.7333333333333333
Vietnam,2,25,15,1,0,9,0.88,0.0,0.16,0.16,0.4,0.04,0.24,0.88,0.4,0.12,0.0,0.8,4.0,11.0,1.0,12.5,0.36,0.6,0.0,0.0,0.0,5.0,0.2
Kazakhstan,2,19,7,1,1,10,0.7368421052631579,0.0,0.2631578947368421,0.631578947368421,0.42105263157894735,0.05263157894736842,0.05263157894736842,0.7368421052631579,0.42105263157894735,0.47368421052631576,0.0,0.8947368421052632,7.0,1.0,1.0,9.5,0.5263157894736842,0.3684210526315789,0.05263157894736842,0.14285714285714285,0.1,8.0,0.42105263157894735
Iceland,2,18,11,1,2,4,0.8333333333333334,0.0,0.05555555555555555,0.2777777777777778,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.8333333333333334,0.6666666666666666,0.2222222222222222,0.0,0.9444444444444444,6.0,8.0,0.0,9.0,0.2222222222222222,0.6111111111111112,0.1111111111111111,0.18181818181818182,0.5,6.0,0.3333333333333333
Hungary,2,15,2,1,0,12,0.8,0.0,0.2,0.4,0.6666666666666666,0.0,0.2,0.8,0.6666666666666666,0.26666666666666666,0.0,0.8,3.0,0.0,0.0,7.5,0.8,0.13333333333333333,0.0,0.0,0.0,3.0,0.2
Uruguay,2,15,3,0,0,12,0.5333333333333333,0.0,0.06666666666666667,0.3333333333333333,0.5333333333333333,0.0,0.13333333333333333,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.2,0.6666666666666666,0.0,2.0,1.0,7.5,0.8,0.2,0.0,0.0,0.0,1.0,0.06666666666666667
G7,2,14,12,1,0,1,0.7857142857142857,0.0,0.14285714285714285,0.21428571428571427,0.5,0.0,0.2857142857142857,0.7857142857142857,0.5,0.21428571428571427,0.07142857142857142,0.6428571428571429,1.0,12.0,0.0,7.0,0.07142857142857142,0.8571428571428571,0.0,0.0,0.0,1.0,0.07142857142857142
Uzbekistan,2,4,1,1,0,2,0.25,0.0,0.0,0.25,0.5,0.0,0.25,0.25,0.5,0.25,0.0,1.0,0.0,2.0,0.0,2.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0
Indonesia,1,67,42,0,1,24,0.7761194029850746,0.0,0.14925373134328357,0.23880597014925373,0.47761194029850745,0.014925373134328358,0.26865671641791045,0.7761194029850746,0.47761194029850745,0.208955223880597,0.014925373134328358,0.8507462686567164,3.0,39.0,1.0,67.0,0.3582089552238806,0.6268656716417911,0.014925373134328358,0.023809523809523808,0.041666666666666664,4.0,0.05970149253731343
Slovakia,1,34,4,1,0,29,0.8823529411764706,0.0,0.14705882352941177,0.5,0.5,0.0,0.20588235294117646,0.8823529411764706,0.5,0.47058823529411764,0.058823529411764705,0.8529411764705882,2.0,3.0,0.0,34.0,0.8529411764705882,0.11764705882352941,0.0,0.0,0.0,2.0,0.058823529411764705
Cyprus,1,17,11,0,0,6,0.8823529411764706,0.0,0.29411764705882354,0.11764705882352941,0.5294117647058824,0.0,0.058823529411764705,0.8823529411764706,0.5294117647058824,0.11764705882352941,0.0,0.8235294117647058,6.0,5.0,0.0,17.0,0.35294117647058826,0.6470588235294118,0.0,0.0,0.0,6.0,0.35294117647058826
Croatia,1,14,5,1,0,8,0.9285714285714286,0.0,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.0,0.0,0.9285714285714286,0.42857142857142855,0.21428571428571427,0.0,0.5,0.0,4.0,2.0,14.0,0.5714285714285714,0.35714285714285715,0.0,0.0,0.0,2.0,0.14285714285714285
Poland,1,10,3,0,0,7,1.0,0.0,0.3,0.6,0.7,0.1,0.0,1.0,0.7,0.6,0.1,0.8,1.0,2.0,0.0,10.0,0.7,0.3,0.0,0.0,0.0,1.0,0.1
Lithuania,1,8,6,0,0,2,0.875,0.0,0.125,0.375,0.0,0.0,0.0,0.875,0.0,0.375,0.125,0.625,5.0,1.0,0.0,8.0,0.25,0.75,0.0,0.0,0.0,5.0,0.625
Morocco,1,6,3,0,0,3,0.8333333333333334,0.0,0.5,0.3333333333333333,0.5,0.0,0.5,0.8333333333333334,0.5,0.3333333333333333,0.0,0.6666666666666666,2.0,0.0,1.0,6.0,0.5,0.5,0.0,0.0,0.0,3.0,0.5
United Arab Emirates,1,6,1,0,0,5,0.6666666666666666,0.0,0.16666666666666666,0.5,0.5,0.0,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.0,6.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
United Nations,1,6,3,1,0,2,0.8333333333333334,0.0,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.0,1.0,1.0,3.0,0.0,6.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,0.16666666666666666
Council of Europe,1,2,2,0,0,0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,,2.0,1.0
Greece,1,2,1,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5
Luxembourg,1,2,0,0,0,2,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,,,,2.0,1.0,0.0,0.0,,0.0,0.0,0.0
Nigeria,1,2,2,0,0,0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,,1.0,0.5
Malaysia,1,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,,0.0,0.0,0.0
Rwanda,1,1,1,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
