doc_id,doc_char_count,n_chunks
77780ab445563074,52082,33
77a3c54976de490d,0,0
7855a7502407511b,6738,5
78e005452a2a0517,41953,26
7984ab8b70cde7fa,37439,15
79d0b329134c14d0,212379,236
79e05c502d1fc124,64398,27
7a45b15201d88448,266464,107
7aa5a1124a71c7df,752787,320
7aeb5a15b468ccad,84248,61
7ba807b2300ae450,15395,7
7be7c976d94de17b,7577,5
7bed141a402e3558,96528,65
7cf5fc924b59bd37,17816,8
7d02e8589565cc5b,29618,12
7d59762a7ddd63b3,2403,1
7d5c073ef23c9397,7817,4
7dac711ac890ad34,9411,4
7dcbb8504da1624b,68428,28
7dd97c8f22ceacbc,4682,3
7e3660b0c9de0d06,0,0
7f47434dab75dff4,19484,26
80036a4592987572,201289,81
80321c1e284ef46d,12238,18
80966f58285b3673,7676,4
80e124f5214e982e,2251,2
80e140e0d92591de,137272,88
814a9e864804836b,95757,72
816f979923541208,6621884,2655
81ddf98434c5918d,895838,832
82d482cc4cdf5240,78693,32
837d84cd2efa906e,22145,9
83c70423dd57b35b,23121,14
83fd3c9e83042dcd,12279,5
8491ca8d2b748429,4748,2
84af3ba4f134a7af,11152,5
853b6b0341d1d411,104694,43
856c462c2780b210,1304,1
85b7923a57934e2c,15248,7
8629b3016b7170ad,10261,5
862ea4b3d51e917d,280878,157
866debfa26fd035f,9126,4
86c308f7bd5b2916,360062,151
8766efa1bc32351f,47334,19
87a6998e004b1b22,4951,2
87c9c05b4aeb8f7a,11076,6
87d44aec605ee8a9,90842,53
8852a48fec609636,29407,14
88692db051241939,30442,13
88aa8e138e67896a,95576,39
892057f082701847,171358,149
8a188b655b7c0042,132934,54
8a23b3b467f53979,1976386,2214
8a3de5c434752c65,84646,39
8a4541f023aaa44e,1261,3
8a6ab8f0239d91cc,25188,11
8aa8c28ec0ed5728,187004,257
8aaa4c9178a95fa8,50213,21
8b231593428c1c83,4919,3
8b297a8d8cc1634c,10552,8
8b3f08a152291963,169603,78
8b3f791b04265bb0,24786,29
8bd5f1810a2056f2,100278,43
8c4c56619bc18071,18747,18
8cbf1f7562bd2011,4989,2
8cfe61479e641edf,77934,32
8d07312f187aa8b8,103660,42
8d2ba7a94cf95201,118253,49
8e1c868fd9fb329d,72230,35
8e1e34b024518af1,87870,36
8e76593e79b7152c,213213,86
8e7e80899d260f76,16743,28
8e8be0b69b0692e4,55731,23
8ea28dfc6e31072c,12504,5
8ece27abb434b248,65571,27
8fab508437f89741,325707,131
8fb50c8a7687793e,3572,2
8fb7549eb54a636b,2802,2
8ff3a02ea74b11bb,57529,27
904b301cdbe470f6,367034,147
91954d3a5a4c1551,1142404,458
91d56ab3ddefe43f,69052,41
91d763c538922b40,171625,118
920ecfc19fa7ee1d,18643,17
92b1c88e691d62a4,14910,10
92de853e224ba9df,92624,38
92ec2da458de47bd,319446,129
92f27d51f32aec54,141978,57
92f4be29f030ec48,32141,19
9307453d3632e5d5,3263,2
932e5524cf150c66,185754,79
9330529fff3cbfc6,140149,90
93e38d0de63b2718,67679,29
93e843b8a20a75de,24641,18
9404e0bcff9bb92f,62540,26
94acdc33c412524a,14540,6
9529a86440cc1235,21464,17
9534687af353cad3,166610,67
9558838d1151efbd,3482,2
95ad0c903aad10e0,69973,36
95c7ee1a110e3336,5733,7
95cdc1a62313424b,10142,5
95fa68582bf95912,6476,8
96438ff360b4b564,200970,141
9651b3ef22aee5d9,17907,8
9667b5ed3f6ed9b4,49514,20
967e6d8a83f9d703,2125,2
9696d837edc95464,5045,2
96c59d64321b5e3e,75022,31
979057bf278368d3,90987,40
97bc3b043011bb52,278163,186
97c37eaf32cd34a9,21178,9
981aad01478de5ba,8993,4
98c64efe51712be4,2283,4
98f1d09e125448f6,32818,29
99aeb60267064ce5,27617,82
9af3006c7d04905c,107917,44
9b4880a8756362da,152925,62
9b72d6d672bcce34,209061,100
9c46e00f1b3ff6de,36374,28
9c4bf1280ef60d16,138190,56
9c833713b424ce32,3190,2
9d33d6d24f2f8a9e,7648,4
9e14de09800ba581,82057,34
9e2a0beb4641aea0,10214,5
9ea9ecb80f0d7309,32221,14
9f3643235b38d370,13302,16
9f4c302f8da10b21,9606,4
9fa93459bd75f58b,3788,2
9fbe5a95bc2b8a7c,147593,69
a0a45e7ecfcd4151,7196,3
a16b5f93f01a88bb,11038,5
a18fd0b86fe62a2b,28195,12
a1a70613970fd51e,3185,2
a1bcd611533b4970,28656,12
a1bd18ea7c19395b,4214,2
a1c73c97909b52bb,83947,35
a1f7ea797c8ccd97,23305,12
a215ca2c87e73626,10117,4
a24fa5809925c50e,242324,177
a26ee1d057ff9d63,146016,59
a27aec8ac4929989,45264,19
a284663011ff49f4,103325,51
a2e103d902a0c3e6,3758,2
a35e4e670a0b5c0f,105728,1
a3c3e085fdbf3a38,6301,3
a3ef059eb9c069a8,462478,338
a44a45b4253202e6,114532,91
