pc,direction,rank,term,loading
10,negative,10,senate amendment,-0.09678538018046909
10,negative,11,amendment contained,-0.09558751616191084
10,negative,12,house contained,-0.09525635293653913
10,negative,13,contained provision,-0.09346585153267507
10,negative,14,department,-0.09194846413190809
10,negative,15,recedes,-0.09115729936664202
10,negative,16,contained similar,-0.09104955748638795
10,negative,17,similar provision,-0.08909356444713654
10,negative,18,secretary,-0.08036707983079462
10,negative,19,military,-0.07907432061762022
10,negative,20,department defense,-0.07148148540045499
10,negative,21,similar,-0.06803198458447168
10,negative,22,secretary defense,-0.06690268961938575
10,negative,23,000,-0.06589770192564927
10,negative,24,program,-0.06435383086389775
10,negative,25,6601,-0.06227854896207386
10,negative,26,report,-0.05495154992262946
10,negative,27,conferees,-0.054566334561925944
10,negative,28,house recedes,-0.05169702533928987
10,negative,29,security,-0.05011799193550903
10,negative,30,armed,-0.04904356514339213
11,positive,1,data,0.24411556598672188
11,positive,2,section,0.13495764785466544
11,positive,3,inserting,0.13390287214799473
11,positive,4,striking,0.12031475041258682
11,positive,5,subsection,0.09127116150896583
11,positive,6,amended,0.0777069847575441
11,positive,7,title,0.07271991082335108
11,positive,8,artificial,0.06258175659477944
11,positive,9,intelligence,0.061523821358891784
11,positive,10,artificial intelligence,0.05993751146041869
11,positive,11,learning,0.05935288022109186
11,positive,12,redesignated,0.05753532265428154
11,positive,13,amended striking,0.04212458189735329
11,positive,14,states code,0.04170005339291301
11,positive,15,machine learning,0.04017604710451125
11,positive,16,sharing,0.03987441376408189
11,positive,17,die,0.03771682355496244
11,positive,18,new,0.03723596867285825
11,positive,19,transferred,0.03659419883684033
11,positive,20,title 10,0.03568092162265278
11,positive,21,machine,0.034861444803001275
11,positive,22,quality,0.034199860911801876
11,positive,23,subsection section,0.033834323712668764
11,positive,24,10 united,0.03317423138688628
11,positive,25,und,0.032341962146957406
11,positive,26,data sharing,0.031892622645707344
11,positive,27,development,0.03141593183643001
11,positive,28,united states,0.02955226420225123
11,positive,29,training,0.029379163666900326
11,positive,30,sector,0.029313865089692297
11,negative,1,ar,-0.21002793361159403
11,negative,2,ticle,-0.18907809168730255
11,negative,3,ar ticle,-0.18879889917616224
11,negative,4,shall,-0.1859487127931556
11,negative,5,regulation,-0.16293990062938604
11,negative,6,eu,-0.14585672217263368
11,negative,7,ser,-0.14564613560595638
11,negative,8,european,-0.12291916752941599
11,negative,9,commission,-0.1170022058295816
11,negative,10,author,-0.10615904057603547
11,negative,11,inf,-0.10302009084784446
11,negative,12,ser vices,-0.10022041923047185
11,negative,13,vices,-0.09986470308502063
11,negative,14,ity,-0.09511151876337649
11,negative,15,par,-0.09003737971594789
11,negative,16,ed,-0.087740241475434
11,negative,17,member,-0.08677425230427911
11,negative,18,inf mation,-0.08548619852535164
11,negative,19,mation,-0.08407355092341323
11,negative,20,article,-0.07278853811542374
11,negative,21,er,-0.06922231195445908
11,negative,22,red,-0.06907557824891095
11,negative,23,law,-0.06905477705852149
11,negative,24,oj,-0.06716717855474372
11,negative,25,provid,-0.0642072316095319
11,negative,26,ma,-0.059981176344067286
11,negative,27,author ities,-0.059132577147765444
11,negative,28,ities,-0.058837363858245784
11,negative,29,accordance,-0.05872602495268717
11,negative,30,union,-0.05791624684319109
12,positive,1,https,0.34802013982860075
12,positive,2,uk,0.30241673210788556
12,positive,3,www,0.253205457937253
12,positive,4,https www,0.23036275520970176
12,positive,5,gov,0.21088076415985174
12,positive,6,gov uk,0.17029593539443888
12,positive,7,government,0.12514614620643388
12,positive,8,org,0.11510512748482618
12,positive,9,pdf,0.10935865913545395
12,positive,10,www gov,0.09944345151530638
12,positive,11,uk government,0.09807489037929026
12,positive,12,online,0.08971862184799602
12,positive,13,2019,0.07895329466303376
12,positive,14,publications,0.07870026939062764
12,positive,15,com,0.07801449138960594
12,positive,16,research,0.07245278612300826
12,positive,17,government publications,0.0709027169925328
12,positive,18,000,0.06978542246384065
12,positive,19,innovation,0.06813298905150626
12,positive,20,online targeting,0.06505059975275156
12,positive,21,cdei,0.06470938048330421
12,positive,22,2020,0.06349718822668321
12,positive,23,targeting,0.06278546179369102
12,positive,24,science,0.06105980312559773
12,positive,25,2018,0.060658375777392796
12,positive,26,bias,0.06065127305331027
12,positive,27,algorithmic,0.06058876562230819
12,positive,28,review,0.06005538146737684
12,positive,29,pm,0.05788973298312379
12,positive,30,2017,0.056081416107619526
12,negative,1,artificial,-0.19693001693630208
12,negative,2,intelligence,-0.19361525957546785
12,negative,3,artificial intelligence,-0.1906089794307024
12,negative,4,digital,-0.11683575881609898
12,negative,5,personal data,-0.09871010864485195
12,negative,6,personal,-0.09514688148785884
12,negative,7,development,-0.06339732060963088
12,negative,8,machine,-0.05832174999659185
12,negative,9,shall,-0.05621228734577119
