row,doc_id,chunk_id
402,03807803a9187364,03807803a9187364_00099
403,03807803a9187364,03807803a9187364_00100
404,03807803a9187364,03807803a9187364_00101
405,03807803a9187364,03807803a9187364_00102
406,03807803a9187364,03807803a9187364_00103
407,03807803a9187364,03807803a9187364_00104
408,03807803a9187364,03807803a9187364_00105
409,03807803a9187364,03807803a9187364_00106
410,03807803a9187364,03807803a9187364_00107
411,03807803a9187364,03807803a9187364_00108
412,03807803a9187364,03807803a9187364_00109
413,03807803a9187364,03807803a9187364_00110
414,03807803a9187364,03807803a9187364_00111
415,03807803a9187364,03807803a9187364_00112
416,03807803a9187364,03807803a9187364_00113
417,03807803a9187364,03807803a9187364_00114
418,03807803a9187364,03807803a9187364_00115
419,03807803a9187364,03807803a9187364_00116
420,03807803a9187364,03807803a9187364_00117
421,03807803a9187364,03807803a9187364_00118
422,03807803a9187364,03807803a9187364_00119
423,03807803a9187364,03807803a9187364_00120
424,03807803a9187364,03807803a9187364_00121
425,03807803a9187364,03807803a9187364_00122
426,03807803a9187364,03807803a9187364_00123
427,03807803a9187364,03807803a9187364_00124
428,03807803a9187364,03807803a9187364_00125
429,03807803a9187364,03807803a9187364_00126
430,03807803a9187364,03807803a9187364_00127
431,03807803a9187364,03807803a9187364_00128
432,03807803a9187364,03807803a9187364_00129
433,03807803a9187364,03807803a9187364_00130
