country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Italy,0.002512869891833563,0.0008313564584371457,2.328808800270144e-05,0.0032095639851156617,0.0009593859507716812,2.370804136634374e-06,0.0012662544275964494,2.2319060251729442e-05,0.00112562167937171,9.158851021272945e-05,0.00038911902839491874,0.0007806843109621379,0.0011426293430341868,0.001407713942250381,0.00035758058765460914,0.0009047730753317082,0.000372559598957515,0.0004853867924064854,0.0003353443255535348,0.0003210127259231919,0.0004726103676427794,0.0006720119809041062,0.0001477135713200976,0.0007243587898989035,0.00011420611733386543
Japan,0.0012473404767266282,0.0006870085710889937,9.663456036414015e-05,0.005850941096736067,0.0008601606677982825,7.688422729774567e-06,0.00336172975201784,5.0364657479026214e-05,0.0015380009517967088,6.692544850769211e-05,0.0005440285833935786,0.0013211841222061879,0.001212518298761414,0.0021012510960837405,0.000709007437792877,0.002964631379697459,0.0009973140960724235,0.0006332885897920878,0.0013892038346464003,0.0006040823947092224,0.00037777641114085673,0.00030235409524366605,0.0008349170473893643,0.0007208288501828949,0.0021425238590016787
Kazakhstan,6.224788525551772e-05,0.0002949558018850964,0.00012659720865786247,0.00037193415992232065,4.691299225595628e-05,6.378199479512436e-07,0.0009667221299771901,2.237844837021412e-05,0.004440124597117077,3.395291737076384e-05,0.00048465243507650664,0.0005438029007613944,0.002722039472404169,0.0005036805004277425,7.096934632767578e-05,0.0006312445320958932,0.0002504927209076671,0.00015510697399419838,0.0010788291247328908,0.0003224595063050918,0.0005260080467243785,6.997351283741332e-06,0.00014371798516373907,0.0006324214128034088,8.266431962088256e-05
Kenya,0.00020544548085275026,6.530946016183794e-05,0.0001702320938597215,0.00023557254695135582,0.0001453491657910198,9.009639113681852e-07,0.0006877042126412794,5.419134455623873e-06,0.0013969963985777936,2.969500528964243e-05,3.608084056530376e-05,5.753403026998845e-05,0.000701557810955932,0.00113282486500914,0.00044137316846913855,0.00028708677161859555,0.001144621768265367,7.91685635344771e-05,0.0020328470967334337,8.266600134165407e-05,2.5260847261419683e-05,0.0004793421616821393,0.0009920611562486898,0.0012417266675305357,0.0003617132141795416
Korea (Republic of),0.003868305362863443,0.0006857755931973766,8.670033108394671e-05,0.004103950194962217,0.0006350646133300577,3.6676378846412802e-06,0.0027966107883037163,1.7996964502482288e-05,0.0001121154982356795,2.9998280682621717e-05,3.617934121525372e-05,0.00026431353201711224,0.002518782323802422,0.0010841379822193044,0.0005806510177079808,0.0007001763946844746,0.0009835776000894163,0.0012829638460345111,0.0007939799698080167,0.0031221613357412716,0.00013785926734879655,0.0011700359131991416,0.000325320649801947,0.0007502881549020666,0.00040695672467960814
Latvia,0.0035366472866022883,0.0005610379347990274,0.00015969365532731073,0.0013533980648932405,0.00026200733436393506,2.2854955474092537e-06,0.0020845381982849097,1.6465232286787514e-05,0.00250070490513892,0.00015926546953802252,0.0007961796611697883,0.0008533862641301931,0.001493088989706206,0.00039572094894674606,0.0003688014537111915,0.001423262464592428,0.000733313996120515,0.0003791883457993374,0.001349144282596886,0.00028701691086301144,0.0004696457192169892,0.00018399006656500013,0.00021387041327195072,0.0007723466827534926,0.0004964161110104346
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,0.007907695708160951,0.0030237090671208023,0.0009129498667461433,0.005936102432305238,0.00042061871476130406,8.449249169059248e-06,0.0053663726200096715,1.643065805575781e-05,0.000538924844285986,0.00021044808627220335,7.805176896701486e-05,0.00025192178147200614,0.004440897526822651,0.0020684213942179118,0.0010507105571011084,0.00033010849853746307,0.00038789328387771235,0.0011715083730628512,6.441461062383155e-05,0.0007949766756827224,5.95931789000331e-05,0.0014951571271740681,0.00024044051942974373,0.00028262607648541524,0.001389328044939388
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,0.005002174506730132,0.0013068946336242523,0.00011519100038798247,0.002482328573510586,0.00044183723760194674,5.671578939494916e-06,0.0025284132984859436,1.4473505401496477e-05,0.00026232810244168636,0.00013706668900987246,0.0003022602274346266,0.0001467454063096316,0.0009944260544908488,0.0012512731919198325,0.0005188547558243312,0.0007403055045863438,0.0003582595900320623,0.00010874481395388307,0.0009454568284820604,0.0003405767483760265,0.00040475877366712897,0.0003286621672904473,0.00034850464620000146,0.0008385282943525394,0.0003197153551193373
Mauritius,0.0010400831156801385,0.005582292937310277,2.0003231408685096e-05,0.0041192858122665,0.0006037200149199889,2.151061921055485e-08,0.0005221275094214046,3.460691341412715e-07,1.9001964179941372e-05,0.005758400812154955,0.0003705700955476592,6.23764983679958e-05,0.00028200702223198825,0.0003874444060364815,2.0908023428746438e-05,0.0003945760766018212,1.6805099840604902e-05,1.575661038826181e-05,9.430930231021169e-05,0.00037715023895360417,0.0005734829805964485,1.3407590487687139e-05,5.808889639754338e-05,0.0001309406776247667,5.238107522994415e-06
Mexico,0.0013824458847242922,0.0005813955601154949,0.00014443334515432655,0.0062931476861526345,0.006992518968920923,2.1595419817119042e-05,0.0062183189675166966,0.00011876092024436665,0.0017330747116260667,0.00011479515393547114,0.0005222713519535422,0.001930957599690345,0.0014572745155046753,0.0010125569428152644,0.00048168571057962854,0.004248835597204867,0.0014457739221883324,0.00014408930646073794,0.0017001870362670706,0.0003364786538680497,0.0007462997932873534,0.00045252509706601474,0.00042708642228342104,0.001485919172194927,0.000425728327261359
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,0.0035500796731818838,0.0009303404154412211,9.0402577491627e-05,0.003608551425119455,0.00048741713258028375,2.802766626856181e-06,0.0017517007948132355,4.501540695051374e-06,0.0018939025904048648,8.113525582826285e-05,0.00027615922620028127,0.0004618135287679316,0.0025475126099538266,0.0032299154001851887,0.00033781782530073966,0.0006164453432624599,0.0008157829939506904,0.0004506227482520024,0.00048021784253099935,0.0010113579032878202,0.0007745553728984083,0.000684380453301249,0.0014567388465904062,0.0018413811870334107,0.0015026851058391039
New Zealand,0.001309406240682041,0.0008713590140873903,2.694044719955523e-05,0.0012633722406069918,0.003174089457730767,8.693661738431171e-06,0.0026306561032399577,0.00012155541711511871,0.00041915214883855455,0.0003664622545572574,0.0012003315010113073,0.0004786447331256697,0.002666020554417416,0.0008160147276771153,9.530759371261908e-05,0.0007242324236792972,0.001422698144095486,0.000985541495303058,0.0006188445517864786,0.0006611736973411995,0.00043129203320992955,0.0007928249087052246,0.0015101079285128238,0.000248017294073007,0.0004795036606697364
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,0.002914038161317787,0.0007864650521907183,0.00021458264472776803,0.00358966533253399,0.00346329741248095,1.194468084660401e-05,0.006013461229313596,8.935893522856237e-05,0.0009783394471875994,0.00017957051564766328,0.001018065049272184,0.00046393997920755637,0.003673145555029049,0.0015896292612300803,0.0013954992417952675,0.0005739991378782502,0.00046831800413878676,0.00029542473210858466,0.0008543605847138189,0.0012728242916198596,0.0002284855130646665,0.0007529455045061353,0.0018854457349736225,0.000359379065793757,0.0005749997784672626
OECD,0.001479205046843297,0.0001741489215957512,0.00014492958082969125,0.0015851878372464296,0.00040786543226471554,9.304633628195656e-07,0.0005713207358744104,2.9767205837208485e-05,0.0009425472830298217,6.900028122112695e-05,0.00011941674210874105,0.00026036091267821453,0.00017413897690229629,0.0012539672679852387,0.00022645720146092016,0.0005266884425516094,0.0004846359842170675,0.00014671596036335303,0.00037437513486495745,0.00012980293566294045,0.00033932743699200313,0.0002176573508033336,0.00016675651763285867,0.0003361973587039401,0.0003069817155084719
Peru,0.002206719705020792,0.00037408351548829375,0.020892317928894143,0.0014870994315294506,0.00045404647682487846,6.147681752768728e-06,0.004908280896205661,2.2720409565860457e-05,0.008934291311471746,0.00021627388639424433,0.0005979440416778606,0.0019816220597098084,0.0033723168084866012,0.0006046019796713141,0.0016110065467909518,0.001445043054445384,0.0009101620505509438,0.0007806887270997089,0.0009553402974698027,0.00023479926235480785,0.00028607132004696933,0.0006787728912906998,0.0003845509233806674,0.0006369363653785497,0.00021773265430953764
Poland,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,0.002858237563303634,0.0006913434003409743,0.0004222293617337427,0.0020562158438751175,0.0005204967524585968,6.2953933450371625e-06,0.005659318048050199,4.913413275450113e-06,0.0024189731847729383,0.00016177774528654222,2.7366783019356228e-05,0.0006617689641947015,0.0031061896357935264,0.0014253905461472773,0.000579111502367072,0.0003861695452810078,0.00046711172365148165,0.00029624476501270534,0.0009532932964032632,0.0001075228273947866,0.00012320915413343656,0.0002884953417555844,0.00046362553103269086,0.0004809209853801491,0.00029173654949079375
Romania,0.004941873461224624,0.0008154362229955449,4.173091022488092e-05,0.001726930153996726,0.00020038191978398326,2.2440789484330783e-06,0.0008235974036613067,1.0637054856501586e-05,0.00010848761882872827,1.3174808624137066e-05,0.0001617389551088009,0.0003604862352340224,0.0005643158516374125,0.0008487688531247132,0.0012805901071060884,0.0008552815308361401,0.001022038223881998,0.00016153457840043092,0.004629263959247029,0.06593928437070408,0.006139610576130262,0.0452352579738274,0.0012912361294155795,0.003943056660771224,0.001666097824873836
