country,n_docs,n_statements,n_norm,other_low_confidence,n_rule,n_strategy,dclass_obligation,dclass_permission,dclass_prohibition,pct_a_explicit,pct_a_inferred,pct_a_conjoined,mean_c_count,pct_b_found,pct_o_local_present,pct_i_conjoined,pct_a_raw_present,pct_b_text_present,pct_c_text_present,statements_per_doc,n_strategy_share,n_norm_share,n_rule_share,rule_to_norm_ratio,rule_to_strategy_ratio,n_strong_deontic,strong_deontic_share,n_weak_deontic,weak_deontic_share
World Economic Forum,3,356,248,12,7,89,140,112,15,0.8932584269662921,0.0,0.09831460674157304,0.449438202247191,0.33146067415730335,0.02247191011235955,0.15730337078651685,0.898876404494382,0.33146067415730335,0.3651685393258427,118.66666666666667,0.25,0.6966292134831461,0.019662921348314606,0.028225806451612902,0.07865168539325842,15,0.042134831460674156,,
Hungary,3,216,88,8,5,115,38,62,1,0.875,0.0,0.11574074074074074,0.39351851851851855,0.36574074074074076,0.027777777777777776,0.16203703703703703,0.875,0.36574074074074076,0.35185185185185186,72.0,0.5324074074074074,0.4074074074074074,0.023148148148148147,0.056818181818181816,0.043478260869565216,1,0.004629629629629629,,
Kazakhstan,3,100,50,8,3,39,45,11,5,0.82,0.0,0.12,0.67,0.17,0.05,0.09,0.82,0.17,0.49,33.333333333333336,0.39,0.5,0.03,0.06,0.07692307692307693,5,0.05,,
Brazil,3,87,54,3,0,30,26,31,0,0.7816091954022989,0.0,0.14942528735632185,0.39080459770114945,0.3563218390804598,0.0,0.21839080459770116,0.7816091954022989,0.3563218390804598,0.3333333333333333,29.0,0.3448275862068966,0.6206896551724138,0.0,0.0,0.0,0,0.0,,
Armenia,3,12,1,0,0,11,1,0,0,0.75,0.0,0.08333333333333333,0.3333333333333333,0.25,0.0,0.08333333333333333,0.75,0.25,0.25,4.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0,0.0,,
Mauritius,2,816,551,91,30,144,329,313,30,0.8174019607843137,0.0,0.12009803921568628,0.6139705882352942,0.17647058823529413,0.03799019607843137,0.16666666666666666,0.8223039215686274,0.17647058823529413,0.4227941176470588,408.0,0.17647058823529413,0.6752450980392157,0.03676470588235294,0.0544464609800363,0.20833333333333334,30,0.03676470588235294,,
G7,2,655,342,40,11,262,84,302,7,0.8351145038167939,0.0,0.08702290076335878,0.2580152671755725,0.40610687022900765,0.01984732824427481,0.15725190839694655,0.8351145038167939,0.40610687022900765,0.23053435114503817,327.5,0.4,0.5221374045801527,0.016793893129770993,0.03216374269005848,0.04198473282442748,7,0.010687022900763359,,
Slovakia,2,576,128,15,4,429,60,83,4,0.859375,0.0,0.0763888888888889,0.3159722222222222,0.3628472222222222,0.019097222222222224,0.13194444444444445,0.859375,0.3628472222222222,0.2708333333333333,288.0,0.7447916666666666,0.2222222222222222,0.006944444444444444,0.03125,0.009324009324009324,4,0.006944444444444444,,
United Nations,2,402,255,58,5,84,97,203,18,0.8383084577114428,0.0,0.12189054726368159,0.2935323383084577,0.24875621890547264,0.012437810945273632,0.14925373134328357,0.8383084577114428,0.24875621890547264,0.2562189054726368,201.0,0.208955223880597,0.6343283582089553,0.012437810945273632,0.0196078431372549,0.05952380952380952,18,0.04477611940298507,,
Iceland,2,398,270,9,25,94,129,141,34,0.9195979899497487,0.0,0.12814070351758794,0.5804020100502513,0.3743718592964824,0.06532663316582915,0.1708542713567839,0.9195979899497487,0.3743718592964824,0.43467336683417085,199.0,0.23618090452261306,0.678391959798995,0.06281407035175879,0.09259259259259259,0.26595744680851063,34,0.08542713567839195,,
Poland,2,168,50,6,3,109,21,36,2,0.7976190476190477,0.0,0.09523809523809523,0.4523809523809524,0.31547619047619047,0.02976190476190476,0.07738095238095238,0.7976190476190477,0.31547619047619047,0.38095238095238093,84.0,0.6488095238095238,0.2976190476190476,0.017857142857142856,0.06,0.027522935779816515,2,0.011904761904761904,,
Greece,2,44,17,2,0,25,10,7,2,0.7272727272727273,0.0,0.06818181818181818,0.29545454545454547,0.1590909090909091,0.0,0.22727272727272727,0.7272727272727273,0.1590909090909091,0.2727272727272727,22.0,0.5681818181818182,0.38636363636363635,0.0,0.0,0.0,2,0.045454545454545456,,
Uganda,2,26,12,1,0,13,4,7,2,0.9615384615384616,0.0,0.0,0.11538461538461539,0.23076923076923078,0.0,0.11538461538461539,0.9615384615384616,0.23076923076923078,0.11538461538461539,13.0,0.5,0.46153846153846156,0.0,0.0,0.0,2,0.07692307692307693,,
Indonesia,1,732,351,22,4,355,83,286,8,0.7568306010928961,0.0,0.12158469945355191,0.31420765027322406,0.4016393442622951,0.009562841530054645,0.12978142076502733,0.7568306010928961,0.4016393442622951,0.2827868852459016,732.0,0.4849726775956284,0.47950819672131145,0.00546448087431694,0.011396011396011397,0.011267605633802818,8,0.01092896174863388,,
Cyprus,1,391,179,17,2,193,126,69,3,0.8184143222506394,0.0,0.1585677749360614,0.30179028132992325,0.3375959079283887,0.0076726342710997444,0.1432225063938619,0.8184143222506394,0.3375959079283887,0.2557544757033248,391.0,0.4936061381074169,0.4578005115089514,0.005115089514066497,0.0111731843575419,0.010362694300518135,3,0.0076726342710997444,,
Lithuania,1,124,61,3,1,59,31,33,1,0.8548387096774194,0.0,0.11290322580645161,0.2661290322580645,0.3870967741935484,0.024193548387096774,0.08064516129032258,0.8548387096774194,0.3870967741935484,0.25,124.0,0.47580645161290325,0.49193548387096775,0.008064516129032258,0.01639344262295082,0.01694915254237288,1,0.008064516129032258,,
African Union,1,106,103,1,0,2,89,7,8,0.9339622641509434,0.0,0.04716981132075472,0.5283018867924528,0.330188679245283,0.0,0.24528301886792453,0.9339622641509434,0.330188679245283,0.3584905660377358,106.0,0.018867924528301886,0.9716981132075472,0.0,0.0,0.0,8,0.07547169811320754,,
Council of Europe,1,85,83,1,0,1,62,19,3,1.0,0.0,0.08235294117647059,0.4470588235294118,0.36470588235294116,0.0,0.25882352941176473,1.0,0.36470588235294116,0.32941176470588235,85.0,0.011764705882352941,0.9764705882352941,0.0,0.0,0.0,3,0.03529411764705882,,
Nigeria,1,75,70,1,3,1,46,22,6,0.8,0.0,0.08,0.76,0.17333333333333334,0.04,0.26666666666666666,0.8,0.17333333333333334,0.52,75.0,0.013333333333333334,0.9333333333333333,0.04,0.04285714285714286,3.0,6,0.08,,
Croatia,1,52,30,5,3,14,7,28,3,0.9038461538461539,0.0,0.09615384615384616,0.25,0.2692307692307692,0.057692307692307696,0.19230769230769232,0.9038461538461539,0.2692307692307692,0.23076923076923078,52.0,0.2692307692307692,0.5769230769230769,0.057692307692307696,0.1,0.21428571428571427,3,0.057692307692307696,,
Morocco,1,25,8,0,0,17,3,4,1,0.8,0.0,0.24,0.44,0.16,0.0,0.24,0.8,0.16,0.4,25.0,0.68,0.32,0.0,0.0,0.0,1,0.04,,
Malaysia,1,14,0,1,0,13,0,1,0,0.9285714285714286,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.07142857142857142,0.9285714285714286,0.2857142857142857,0.35714285714285715,14.0,0.9285714285714286,0.0,0.0,,0.0,0,0.0,,
