country,overall_n_docs,overall_n_statements,overall_statements_per_doc,overall_n_strategy_share,overall_n_norm_share,overall_n_rule_share,overall_rule_to_norm_ratio,overall_rule_to_strategy_ratio,overall_pct_a_explicit,overall_mean_c_count,overall_pct_b_found,overall_pct_o_local_present,overall_strong_deontic_share,edu_n_docs,edu_n_statements,edu_statements_per_doc,edu_n_strategy_share,edu_n_norm_share,edu_n_rule_share,edu_rule_to_norm_ratio,edu_rule_to_strategy_ratio,edu_pct_a_explicit,edu_mean_c_count,edu_pct_b_found,edu_pct_o_local_present,edu_strong_deontic_share,delta_strategy_share,delta_norm_share,delta_rule_share,delta_strong_deontic_share,delta_o_local_present,delta_statements_per_doc
European Union,66,14675,222.34848484848484,0.2100170357751277,0.7185689948892675,0.0349574105621805,0.0486486486486486,0.1664503569110967,0.8701192504258943,0.4526064735945485,0.3574787052810902,0.0396592844974446,0.0624190800681431,43.0,759.0,17.651162790697676,0.1370223978919631,0.7786561264822134,0.0421607378129117,0.05414551607445,0.3076923076923077,0.8458498023715415,0.5968379446640316,0.7707509881422925,0.0474308300395256,0.7220026350461133,-0.0729946378831646,0.060087131592945875,0.007203327250731202,0.6595835549779702,0.007771545542080996,-204.69732205778718
Finland,13,2069,159.15384615384616,0.472208796520058,0.4736587723537941,0.0057999033349444,0.0122448979591836,0.0122824974411463,0.874335427742871,0.3914934751087482,0.2522957950700821,0.0101498308361527,0.0304494925084581,6.0,82.0,13.666666666666666,0.4268292682926829,0.5,0.0121951219512195,0.024390243902439,0.0285714285714285,0.8658536585365854,0.4512195121951219,0.5853658536585366,0.0121951219512195,0.3536585365853658,-0.045379528227375066,0.02634122764620589,0.006395218616275101,0.3232090440769077,0.002045291115066801,-145.4871794871795
France,18,1870,103.88888888888889,0.4,0.5310160427807487,0.0171122994652406,0.0322255790533736,0.0427807486631016,0.8711229946524064,0.3609625668449198,0.3572192513368984,0.0294117647058823,0.0401069518716577,11.0,103.0,9.363636363636363,0.3398058252427184,0.6019417475728155,0.0388349514563106,0.064516129032258,0.1142857142857142,0.912621359223301,0.3883495145631068,0.4854368932038835,0.0485436893203883,0.3786407766990291,-0.060194174757281615,0.07092570479206683,0.02172265199107,0.33853382482737143,0.019131924614506,-94.52525252525253
G7,2,655,327.5,0.4,0.5221374045801527,0.0167938931297709,0.0321637426900584,0.0419847328244274,0.8351145038167939,0.2580152671755725,0.4061068702290076,0.0198473282442748,0.0106870229007633,2.0,14.0,7.0,0.0714285714285714,0.8571428571428571,0.0,0.0,0.0,0.7857142857142857,0.2142857142857142,0.5,0.0,0.0714285714285714,-0.3285714285714286,0.3350054525627044,-0.0167938931297709,0.060741548527808095,-0.0198473282442748,-320.5
Germany,35,3546,101.31428571428572,0.2453468697123519,0.6717428087986463,0.01804850535815,0.0268681780016792,0.0735632183908046,0.8838127467569092,0.3838127467569092,0.4235758601240835,0.0231246474901297,0.0439932318104906,21.0,72.0,3.4285714285714284,0.3055555555555556,0.5972222222222222,0.0138888888888888,0.0232558139534883,0.0454545454545454,0.8472222222222222,0.4444444444444444,0.7222222222222222,0.0138888888888888,0.3333333333333333,0.060208685843203685,-0.07452058657642413,-0.004159616469261199,0.28934010152284273,-0.0092357586012409,-97.88571428571429
Global Partnership on Artificial Intelligence,5,161,32.2,0.5900621118012422,0.3664596273291925,0.0,0.0,0.0,0.8757763975155279,0.217391304347826,0.2795031055900621,0.0,0.0,3.0,10.0,3.333333333333333,0.9,0.1,0.0,0.0,0.0,0.8,0.2,0.2,0.0,0.0,0.3099378881987578,-0.2664596273291925,0.0,0.0,0.0,-28.86666666666667
Greece,2,44,22.0,0.5681818181818182,0.3863636363636363,0.0,0.0,0.0,0.7272727272727273,0.2954545454545454,0.1590909090909091,0.0,0.0454545454545454,1.0,2.0,2.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,-0.06818181818181823,0.1136363636363637,0.0,0.4545454545454546,0.0,-20.0
Hungary,3,216,72.0,0.5324074074074074,0.4074074074074074,0.0231481481481481,0.0568181818181818,0.0434782608695652,0.875,0.3935185185185185,0.3657407407407407,0.0277777777777777,0.0046296296296296,2.0,15.0,7.5,0.8,0.1333333333333333,0.0,0.0,0.0,0.8,0.4,0.6666666666666666,0.0,0.2,0.2675925925925926,-0.2740740740740741,-0.0231481481481481,0.19537037037037042,-0.0277777777777777,-64.5
Iceland,2,398,199.0,0.236180904522613,0.678391959798995,0.0628140703517587,0.0925925925925925,0.2659574468085106,0.9195979899497488,0.5804020100502513,0.3743718592964824,0.0653266331658291,0.0854271356783919,2.0,18.0,9.0,0.2222222222222222,0.6111111111111112,0.1111111111111111,0.1818181818181818,0.5,0.8333333333333334,0.2777777777777778,0.6666666666666666,0.1111111111111111,0.3333333333333333,-0.013958682300390796,-0.06728084868788387,0.0482970407593524,0.24790619765494143,0.04578447794528201,-190.0
India,16,3511,219.4375,0.3047564796354315,0.6365707775562518,0.0193677015095414,0.0304250559284116,0.0635514018691588,0.8849330675021362,0.3417829678154372,0.4400455710623754,0.0219310737681572,0.0267729991455425,12.0,186.0,15.5,0.2043010752688172,0.7311827956989247,0.0161290322580645,0.0220588235294117,0.0789473684210526,0.8548387096774194,0.6075268817204301,0.5752688172043011,0.0268817204301075,0.4193548387096774,-0.10045540436661432,0.09461201814267295,-0.0032386692514769014,0.3925818395641349,0.0049506466619503,-203.9375
Indonesia,1,732,732.0,0.4849726775956284,0.4795081967213114,0.0054644808743169,0.0113960113960113,0.0112676056338028,0.7568306010928961,0.314207650273224,0.4016393442622951,0.0095628415300546,0.0109289617486338,1.0,67.0,67.0,0.3582089552238806,0.6268656716417911,0.0149253731343283,0.0238095238095238,0.0416666666666666,0.7761194029850746,0.2388059701492537,0.4776119402985074,0.0149253731343283,0.0597014925373134,-0.12676372237174782,0.14735747492047968,0.0094608922600114,0.048772530788679595,0.005362531604273701,-665.0
